sno,route_id,stop_id,stop_name
0,1,1,THIRUVOTRIYUR
1,1,2,THIRUVOTRIYUR TEMPLE
2,1,3,THANGAL
3,1,4,ANNA NAGAR
4,1,5,ROYAPURAM P.S
5,1,6,CLIVE BATTERY
6,1,7,PARRYS
7,1,8,M.G.R.CENTRAL
8,1,9,P.OR & SONS
9,1,10,WESLEY H.S
10,1,11,Y.M.I.A
11,1,12,MANDAVELI
12,1,13,A.M.S.HOSPITAL
13,1,14,ADYAR O.T.
14,1,15,ADYAR DEsnoPOT
15,1,16,THIRUVANMIYUR
16,101,1,THIRUVOTRIYUR
17,101,2,THRUVOTRIYUR TEMPLE
18,101,3,THANGAL
19,101,4,ANNA NAGAR
20,101,5,ROYAPURAM P.S
21,101,6,CLIVE BATTERY
22,101,7,PARRYS
23,101,8,M.G.R.CENTRAL
24,101,9,DASAPRAKASH
25,101,10,TAYLORS ROAD
26,101,11,AMINJIKARAI
27,101,12,NADUVANKARAI
28,101,13,ARUMBAKKAM
29,101,14,NERKUNDRAM
30,101,15,MADURAVOYAL
31,101,16,VAANAGARAM
32,101,17,VELAPPANCHAVADI
33,101,18,KUMUNANCHAVADI
34,101,19,POONAMALLEE
35,102,1,BROADWAY
36,102,2,SECRETARIAT
37,102,3,CHEPAUK
38,102,4,Q.M.C
39,102,5,FORESHORE ESTATE
40,102,6,A.M.S.HOSPITAL
41,102,7,ADYAR O.T.
42,102,8,INDIRA NAGAR WATER TANK
43,102,9,SRP TOOLS
44,102,10,KANDANCHAVADI
45,102,11,THORAPPAKKAM TEA SHOP
46,102,12,MOOTAKARAN CHAVADI
47,102,13,KARAPAKKAM
48,102,14,SHOZHANGANALLUR P.U.OFFICE
49,102,15,KUMARAN NAGAR
50,102,16,SEMMANCHERI
51,102,17,NAVALUR
52,102,18,CHURCH
53,102,19,PALAVASTHIC CHEMICALS
54,102,20,HINDUSTAN ENG. COLLEGE
55,102,21,KELAMBAKKAM
56,102A,1,THIRUVANMIYUR
57,102A,2,SRP TOOLS
58,102A,3,KANDANCHAVADI
59,102A,4,THORAPPAKKAM TEA SHOP
60,102A,5,MOOTAKARAN CHAVADI
61,102A,6,KARAPAKKAM
62,102A,7,SHOZHANGANALLUR P.U.OFFICE
63,102A,8,KUMARAN NAGAR
64,102A,9,SEMMANCHERI
65,102A,10,NAVALUR
66,102A,11,SIPCOT
67,102A,12,SIRUSERI I.T.PARK
68,102A,13,PUDUPAKKAM P.U.O.
69,102A,14,PUDUPAKKAM/VANDALOOR RD.J
70,102C,1,BROADWAY
71,102C,2,SECRETARIAT
72,102C,3,CHEPAUK
73,102C,4,Q.M.C
74,102C,5,FORESHORE ESTATE
75,102C,6,A.M.S.HOSPITAL
76,102C,7,ADYAR O.T.
77,102C,8,ADYAR DEPOT
78,102C,9,SRP TOOLS
79,102C,10,KANDANCHAVADI
80,102C,11,THORAPPAKKAM TEA SHOP
81,102C,12,MOOTAKARAN CHAVADI
82,102C,13,KARAPAKKAM
83,102C,14,SHOZHANGANALLUR P.U.OFFICE
84,102C,15,KUMARAN NAGAR
85,102C,16,NUCLEUS COMPANY
86,102C,17,SEMMANCHERI S.C.B.
87,102CT,1,THIRUVANMIYUR
88,102CT,2,SRP TOOLS
89,102CT,3,KANDANCHAVADI
90,102CT,4,THORAPPAKKAM TEA SHOP
91,102CT,5,MOOTAKARAN CHAVADI
92,102CT,6,KARAPAKKAM
93,102CT,7,SHOZHANGANALLUR P.U.OFFICE
94,102CT,8,KUMARAN NAGAR
95,102CT,9,SEMMANCHERI
96,102CT,10,NAVALUR
97,102CT,11,SIPCOT
98,102CT,12,SIRUSERI I.T.PARK
99,102K,1,BROADWAY
100,102K,2,SECRETARIAT
101,102K,3,CHEPAUK
102,102K,4,Q.M.C
103,102K,5,FORESHORE ESTATE
104,102K,6,A.M.S.HOSPITAL
105,102K,7,ADYAR O.T.
106,102K,8,INDIRA NAGAR
107,102K,9,SRP TOOLS
108,102K,10,KANDANCHAVADI
109,102K,11,THORAPPAKKAM TEA SHOP
110,102K,12,THORAPPAKKAM P.T.C COLONY
111,102K,13,KANNAGI NAGAR S.C.B.
112,102K#,1,BROADWAY
113,102K#,2,SECRETARIAT
114,102K#,3,CHEPAUK
115,102K#,4,Q.M.C
116,102K#,5,FORESHORE ESTATE
117,102K#,6,A.M.S.HOSPITAL
118,102K#,7,ADYAR O.T.
119,102K#,8,INDIRA NAGAR
120,102K#,9,SRP TOOLS
121,102K#,10,KANDANCHAVADI
122,102K#,11,THORAPPAKKAM TEA SHOP
123,102K#,12,THORAPPAKKAM P.T.C COLONY
124,102K#,13,KANNAGI NAGAR S.C.B.
125,102M,1,ADYAR B.S.
126,102M,2,ADYAR DEPOT
127,102M,3,SRP TOOLS
128,102M,4,KANDANCHAVADI
129,102M,5,THORAPPAKKAM TEA SHOP
130,102M,6,MOOTAKARAN CHAVADI
131,102M,7,KARAPAKKAM
132,102M,8,SHOZHANGANALLUR P.U.OFFICE
133,102M,9,KUMARAN NAGAR
134,102M,10,SEMMANCHERI
135,102M,11,NAVALUR
136,102M,12,CHURCH
137,102M,13,PALAVASTHIC CHEMICALS
138,102M,14,HINDUSTAN ENG. COLLEGE
139,102M,15,KELAMBAKKAM
140,102M,16,CHENGAMMAL RD. JN.
141,102M,17,KOMAN NAGAR RD JN.
142,102M,18,KALAVAKKAM TEA STALL
143,102M,19,THIRUPORUR
144,102M,20,MANAMATHI ROAD JN
145,102M,21,CHIRUTHAVOOR JN.
146,102M,22,AMMUR COLONY
147,102M,23,KALAVAKKAM
148,102M,24,MANAMATHI SCHOOL
149,102M,25,MANAMATHI
150,102P,1,BROADWAY
151,102P,2,SECRETARIAT
152,102P,3,CHEPAUK
153,102P,4,Q.M.C
154,102P,5,FORESHORE ESTATE
155,102P,6,A.M.S.HOSPITAL
156,102P,7,ADYAR O.T.
157,102P,8,ADYAR DEPOT
158,102P,9,SRP TOOLS
159,102P,10,KANDANCHAVADI
160,102P,11,THORAPPAKKAM TEA SHOP
161,102P,12,MOOTAKARAN CHAVADI
162,102P,13,KARAPAKKAM
163,102P,14,SHOZHANGANALLUR P.U.OFFICE
164,102P,15,KUMARAN NAGAR
165,102P,16,NUCLEUS COMPANY
166,102P,17,PERUMPAKKAM S.C.B.
167,102S,1,BROADWAY
168,102S,2,SECRETARIAT
169,102S,3,CHEPAUK
170,102S,4,Q.M.C
171,102S,5,FORESHORE ESTATE
172,102S,6,A.M.S.HOSPITAL
173,102S,7,ADYAR O.T.
174,102S,8,ADYAR DEPOT
175,102S,9,SRP TOOLS
176,102S,10,KANDANCHAVADI
177,102S,11,THORAPPAKKAM TEA SHOP
178,102S,12,OKK.THORAIPAKM SEC.COLONY
179,102X,1,BROADWAY
180,102X,2,SECRETARIAT
181,102X,3,CHEPAUK
182,102X,4,Q.M.C
183,102X,5,FORESHORE ESTATE
184,102X,6,A.M.S.HOSPITAL
185,102X,7,ADYAR O.T.
186,102X,8,INDIRA NAGAR WATER TANK
187,102X,9,SRP TOOLS
188,102X,10,KANDANCHAVADI
189,102X,11,THORAPPAKKAM TEA SHOP
190,102X,12,MOOTAKARAN CHAVADI
191,102X,13,KARAPAKKAM
192,102X,14,SHOZHANGANALLUR P.U.OFFICE
193,102X,15,KUMARAN NAGAR
194,102X,16,SEMMANCHERI
195,102X,17,NAVALUR
196,102X,18,CHURCH
197,102X,19,PALAVASTHIC CHEMICALS
198,102X,20,HINDUSTAN ENG. COLLEGE
199,102X,21,KELAMBAKKAM
200,102X,22,CHENGAMMAL RD. JN.
201,102X,23,KOMAN NAGAR RD JN.
202,102X,24,KALAVAKKAM TEA STALL
203,102X,25,THIRUPORUR
204,104,1,REDHILLS
205,104,2,AYURVEDHA ASHARAMAM
206,104,3,KAVANGARAI
207,104,4,SCREW FACTORY
208,104,5,SURAPEDU
209,104,6,KALLIKUPPAM
210,104,7,PUDUR
211,104,8,AMBATTUR O.T.
212,104,9,DUNLOP
213,104,10,AMBATTUR I.E.
214,104,11,NALAMBUR SERVICE RD
215,104,12,MADURAVOYAL JN
216,104,13,TVS MCC MOTORS
217,104,14,TOLL PLAZA
218,104,15,PORUR JN
219,104,16,MANGADU RD JN
220,104,17,KOVOOR RD JN
221,104,18,PAMMAL ADAYAR BRIDGE
222,104,19,THENDRAL NAGAR
223,104,20,THIRUNEERMALAI RD JN.
224,104,21,PETROL BUNK
225,104,22,MUDICHUR RD JN.
226,104,23,IRUMBULIYUR
227,104,24,TAMBARAM
228,104C,1,M.G.R.KOYAMBEDU
229,104C,2,KOYAMBEDU SCHOOL
230,104C,3,NERKUNDRAM
231,104C,4,MADURAVOYAL
232,104C,5,TVS MCC MOTORS
233,104C,6,TOLL PLAZA
234,104C,7,PORUR JN
235,104C,8,MANGADU RD JN
236,104C,9,KOVOOR RD JN
237,104C,10,PAMMAL ADAYAR BRIDGE
238,104C,11,THENDRAL NAGAR
239,104C,12,THIRUNEERMALAI RD.JN.
240,104C,13,PETROL BUNK
241,104C,14,MUDICHUR RD.JN.
242,104C,15,PERUNGALATHUR
243,104C,16,VANDALUR GATE
244,104C,17,VANDALUR ZOO
245,104C,18,URAPAKKAM
246,104C,19,PALAKKA COMPANY
247,104C,20,GUDUVANCHERY
248,105,1,TAMBARAM WEST
249,105,2,TAMBARAM EAST
250,105,3,CONVENT
251,105,4,MAHALAKSHMI NAGAR
252,105,5,S.I.V.E.T
253,105,6,MEDAVAKKAM RD.JN.
254,105,7,CHITHALAPAKKAM
255,105,8,ARASANKAZHANI
256,105,9,OTTIAMBAKKAM
257,105,10,THAZHAMBUR ROAD JN
258,105,11,THAZHAMBUR PANCHAYAT OFFICE
259,105,12,NAVALUR
260,105,13,SIPCOT
261,105,14,SIRUSERI I.T.PARK
262,105A,1,TAMBARAM WEST
263,105A,2,TAMBARAM EAST
264,105A,3,CONVENT
265,105A,4,CAMP ROAD
266,105A,5,BALAJI NAGAR (BHARATH ENG COL)
267,105A,6,MADAMBAKKAM KOIL
268,105A,7,NOOTHANCHERI
269,105A,8,JN.OF MAMBAKKAM & O.BAKKAM RD.
270,105A,9,CHITHALAPAKKAM
271,105A,10,ARASANKAZHANI
272,105A,11,OTTIAMBAKKAM
273,105A,12,KARANAI
274,105A,13,THALAMBUR
275,105A,14,NAVALUR
276,105A,15,SIPCOT
277,105A,16,SIRUSERI I.T.PARK
278,109,1,BROADWAY
279,109,2,SECRETARIAT
280,109,3,CHEPAUK
281,109,4,Q.M.C
282,109,5,FORESHORE ESTATE
283,109,6,A.M.S.HOSPITAL
284,109,7,ADYAR O.T.
285,109,8,ADYAR DEPOT
286,109,9,THIRUVANMIYUR
287,109,10,KOTTIVAKKAM
288,109,11,PALAVAKKAM
289,109,12,NEELANKARAI
290,109,13,VETTUVANKENI
291,109,14,CHOLA MANDAL
292,109,15,INJAMBAKKAM
293,109,16,PANAIYUR
294,109,17,UTHANDI VILLAGE
295,109,18,KANATHUR
296,109,19,NATURE CARE HOSPITAL
297,109,20,MUTTUKKADU
298,109,21,MUTTUKKADU BOAT YARD
299,109,22,KOVALAM
300,109CT,1,ADYAR B.S.
301,109CT,2,ADYAR DEPOT
302,109CT,3,THIRUVANMIYUR
303,109CT,4,KOTTIVAKKAM
304,109CT,5,PALAVAKKAM
305,109CT,6,NEELANKARAI
306,109CT,7,VETTUVANKENI
307,109CT,8,CHOLA MANDAL
308,109CT,9,INJAMBAKKAM
309,109CT,10,PANAIYUR
310,109CT,11,UTHANDI VILLAGE
311,109CT,12,KANATHUR
312,109CT,13,NATURE CARE HOSPITAL
313,109CT,14,MUTTUKKADU
314,109CT,15,MUTTUKKADU BOAT YARD
315,109CT,16,KOVALAM
316,109T,1,THIRUVOTRIYUR
317,109T,2,THRUVOTRIYUR TEMPLE
318,109T,3,THANGAL
319,109T,4,ANNA NAGAR
320,109T,5,ROYAPURAM P.S
321,109T,6,CLIVE BATTERY
322,109T,7,PARRYS
323,109T,8,SECRETARIAT
324,109T,9,CHEPAUK
325,109T,10,Q.M.C
326,109T,11,FORESHORE ESTATE
327,109T,12,A.M.S.HOSPITAL
328,109T,13,ADYAR O.T.
329,109T,14,ADYAR DEPOT
330,109T,15,THIRUVANMIYUR
331,109T,16,KOTTIVAKKAM
332,109T,17,PALAVAKKAM
333,109T,18,NEELANKARAI
334,109T,19,VETTUVANKENI
335,109T,20,CHOLA MANDAL
336,109T,21,INJAMBAKKAM
337,109T,22,PANAIYUR
338,109T,23,UTHANDI VILLAGE
339,109T,24,KANATHUR
340,109T,25,NATURE CARE HOSPITAL
341,109T,26,MUTTUKKADU
342,109T,27,MUTTUKKADU BOAT YARD
343,109T,28,KOVALAM
344,109X,1,BROADWAY
345,109X,2,SECRETARIAT
346,109X,3,CHEPAUK
347,109X,4,Q.M.ARTS COLLEGE
348,109X,5,FORESHORE ESTATE
349,109X,6,A.M.S.HOSPITAL
350,109X,7,ADYAR O.T.
351,109X,8,ADYAR DEPOT
352,109X,9,THIRUVANMIYUR
353,109X,10,KOTTIVAKKAM
354,109X,11,PALAVAKKAM
355,109X,12,NEELANKARAI
356,109X,13,VETTUVANKENI
357,109X,14,CHOLA MANDAL
358,109X,15,INJAMBAKKAM
359,109X,16,PANAIYUR
360,109X,17,UTHANDI VILLAGE
361,109X,18,KANATHUR
362,109X,19,NATURE CARE HOSPITAL
363,109X,20,MUTTUKKADU
364,109X,21,MUTTUKKADU BOAT YARD
365,109X,22,KOVALAM
366,109X,23,SALT OFFICE
367,109X,24,KELAMBAKKAM
368,109X,25,CHENGAMMAL RD. JN.
369,109X,26,KOMAN NAGAR RD JN.
370,109X,27,KALAVAKKAM TEA STALL
371,109X,28,THIRUPORUR
372,10A,1,TOLLGATE
373,10A,2,TONDAIAYRPET
374,10A,3,KALMANDAPAM P.S.
375,10A,4,CLIVE BATTERY
376,10A,5,PARRYS\BROADWAY
377,10A,6,M.G.R.CENTRAL
378,10A,7,EGMORE
379,10A,8,MATERNITY HOSPITAL
380,10A,9,D.P.I
381,10A,10,STERLING RD./METROLOG. DEPT.
382,10A,11,VIDYODAYA
383,10A,12,PONDY BAZAAR/VIVEK & CO
384,10A,13,THIAGARAYA NAGAR
385,10A,14,SRINIVASA THEATER
386,10A,15,SAIDAPET WEST
387,10E,1,BROADWAY
388,10E,2,M.G.R.CENTRAL
389,10E,3,EGMORE
390,10E,4,MATERNITY HOSPITAL
391,10E,5,D.P.I
392,10E,6,STERLING RD./METROLOG. DEPT.
393,10E,7,VIDYODAYA
394,10E,8,VIVEK & CO (KRISHNAN KOIL)
395,10E,9,THIAGARAYA NAGAR
396,10E,10,SRINIVASA THEATER
397,10E,11,GOVT. GIRLS H.SC
398,10E,12,JAFFARKHAN PET
399,10E,13,EKKATTUTHANGAL
400,11,1,BROADWAY
401,11,2,M.G.R.CENTRAL
402,11,3,P.OR & SONS
403,11,4,T.V.S
404,11,5,D.M.S
405,11,6,PONDY BAZAAR
406,11,7,THIAGARAYA NAGAR
407,111,1,THIRUVERKADU
408,111,2,VELAPPANCHAVADI
409,111,3,VAANAGARAM
410,111,4,MADURAVOYAL
411,111,5,NERKUNDRAM
412,111,6,KOYAMBEDU MARKET
413,111,7,KOYAMBEDU P.S
414,111,8,M.M.D.A.COLONY RD.JN.
415,111,9,JN OF III AND 1ST AVE
416,111,10,JAFFARKHAN PET
417,111,11,CIPET
418,111,12,ST THOMAS MOUNT PO
419,111,13,MEENAMABAKKAM OLD AIRPORT
420,111,14,THIRUSOOLAM NATIONAL AIRPORT
421,111,15,PALLAVARAM
422,111,16,CHROMEPET
423,111,17,T.B.SANATORIUM
424,111,18,TAMBARAM
425,113,1,REDHILLS
426,113,2,AAYURVEDA ASHRAMAM
427,113,3,KAVANGARAI
428,113,4,KATHIRVEDU
429,113,5,VINAYAGAPURAM
430,113,6,MALLIGAI NAGAR AVE
431,113,7,WATER PIPE THATHANKUPPAM
432,113,8,WEELS INDIA RD.JN.
433,113,9,THIRUMANGALAM
434,113,10,KOYAMBEDU SCHOOL
435,113,11,M.M.D.A.COLONY RD.JN.
436,113,12,JN OF III AND 1ST AVE
437,113,13,JAFFARKHAN PET
438,113,14,CIPET
439,113,15,GUINDY TVK ESTATE
440,114,1,REDHILLS
441,114,2,AAYURVEDA ASHRAMAM
442,114,3,KAVANGARAI
443,114,4,CYCLE SHOP
444,114,5,BUS BAY-17TH KM
445,114,6,MALLIGAI NAGAR AVE
446,114,7,WATER PIPE THATHANKUPPAM
447,114,8,WEELS INDIA RD.JN.
448,114,9,THIRUMANGALAM
449,114,10,KOYAMBEDU SCHOOL
450,114,11,M.G.R.KOYAMBEDU
451,114A,1,REDHILLS
452,114A,2,AAYURVEDA ASHRAMAM
453,114A,3,KAVANGARAI
454,114A,4,CYCLE SHOP
455,114A,5,BUS BAY-17TH KM
456,114A,6,MALLIGAI NAGAR AVE
457,114A,7,SRINIVASA NAGAR
458,114A,8,VILLIVAKKAM
459,114A,9,KAMABAR ARANGAM
460,114A,10,AYANAVARAM B.S.
461,114C,1,M.G.R.KOYAMBEDU
462,114C,2,KOYAMBEDU SCHOOL
463,114C,3,THIRUMANGALAM
464,114C,4,WEELS INDIA RD.JN.
465,114C,5,WATER PIPE THATHANKUPPAM
466,114C,6,MALLIGAI NAGAR AVE
467,114C,7,BUS BAY-17TH KM
468,114C,8,CYCLE SHOP
469,114C,9,KAVANGARAI
470,114C,10,AAYURVEDA ASHRAMAM
471,114C,11,REDHILLS
472,114C,12,PAMMADU KULAM RD.JN.
473,114C,13,JN.OF RACE COURSE RD
474,114C,14,ALAMADHI OLD
475,114C,15,DRY CATTLLE FORM
476,114C,16,ALAMADHI
477,114C,17,AMBEDKAR NAGAR
478,114C,18,POOCHIATHIPEDU
479,114C,19,GURUVOYAL KARANIBATTAI
480,114C,20,GURUVOYAL VILLAGE
481,114C,21,SETHUPAKKAM
482,114C,22,AGARAM KANDIGAI
483,114C,23,TAMARAPAKKAM KOOT RD
484,114CCT,1,M.G.R.KOYAMBEDU
485,114CCT,2,KOYAMBEDU SCHOOL
486,114CCT,3,THIRUMANGALAM
487,114CCT,4,WEELS INDIA RD.JN.
488,114CCT,5,WATER PIPE THATHANKUPPAM
489,114CCT,6,MALLIGAI NAGAR AVE
490,114CCT,7,BUS BAY-17TH KM
491,114CCT,8,CYCLE SHOP
492,114CCT,9,KAVANGARAI
493,114CCT,10,AAYURVEDA ASHRAMAM
494,114CCT,11,REDHILLS
495,114CCT,12,AZHINJIVAKKAM RD.JN.
496,114CCT,13,KUMMANUR
497,114CCT,14,BUDUR
498,114CCT,15,ARUMANDAI RD.JN.
499,114CCT,16,PUDUKUPPAM
500,114CCT,17,GNAYARU
501,114D,1,ARANI
502,114D,2,AGARAM
503,114D,3,CHINNAMBEDU VILLAGE
504,114D,4,CHINAMBEDU COLONY
505,114D,5,NEW ROAD
506,114D,6,THATCHUR ROAD JN
507,114D,7,PANJETTI
508,114D,8,PERIYAPALAYAM RD JN.
509,114D,9,KARANODAI
510,114D,10,SHOLAVARAM
511,114D,11,SEMILIVARAM
512,114D,12,PADIYANALLUR
513,114D,13,REDHILLS
514,114D,14,AAYURVEDA ASHRAMAM
515,114D,15,KAVANGARAI
516,114D,16,CYCLE SHOP
517,114D,17,BUS BAY-17TH KM
518,114D,18,MALLIGAI NAGAR AVE
519,114D,19,WATER PIPE THATHANKUPPAM
520,114D,20,WEELS INDIA RD.JN.
521,114D,21,THIRUMANGALAM
522,114D,22,KOYAMBEDU SCHOOL
523,114D,23,M.G.R.KOYAMBEDU
524,114E,1,KOYAMBEDU MARKET
525,114E,2,KOYAMBEDU P.S
526,114E,3,KOYAMBEDU SCHOOL
527,114E,4,THIRUMANGALAM
528,114E,5,WEELS INDIA RD.JN.
