sno,route_id,stop_id,stop_name
0,224/219,1,Miyapur X Road – SV
1,224/219,2,Miyapur
2,224/219,3,Allwyn X Road
3,224/219,4,Madinaguda
4,224/219,5,Deepthisri Nagar / Madinaguda
5,224/219,6,Huda Colony
6,224/219,7,Gangaram
7,224/219,8,Chanda Nagar
8,224/219,9,Lingampally Bus Stand
9,224/219,10,Lingampally
10,224/219,11,Jyothi Nagar LP
11,224/219,12,Ashok Nagar LP
12,224/219,13,Sri Sai Nagar
13,224/219,14,Mandal Office
14,224/219,15,BHEL Pushpak
15,224/219,16,R.C. Puram
16,224/219,17,Railway Station Gate
17,224/219,18,ICRISAT
18,224/219,19,Patancheru
19,224/219,20,Patancheru Market Road
20,224/219,21,Navapan
21,224/219,22,Muttangi
22,224/219,23,Isnapur X Road
23,224/219,24,Lakdaram
24,224/219,25,Rudraram X Road
25,224/219,26,Gitam University

sno,route_id,stop_id,stop_name
0,8X,1,Ranigunj Bus Depot
1,8X,2,Raniganj
2,8X,3,Boats Club
3,8X,4,Bible House
4,8X,5,Bata
5,8X,6,Patny Center
6,8X,7,Clock Tower
7,8X,8,Sangeeth
8,8X,9,Secunderabad(Towards Uppal)
9,8X,10,TSRTC Rathifile Bus Station
10,8X,11,Secunderabad Railway Station
11,8X,12,Secunderabad Bus Station

sno,route_id,stop_id,stop_name
0,15H/242RG,1,Secunderabad(Towards Uppal)
1,15H/242RG,2,TSRTC Rathifile Bus Station
2,15H/242RG,3,Chilkalguda
3,15H/242RG,4,Alugadda Bhavi
4,15H/242RG,5,Railway Hospital / Mettuguda
5,15H/242RG,6,Lalaguda Junction
6,15H/242RG,7,New Bridge
7,15H/242RG,8,North Lalaguda
8,15H/242RG,9,Masjid Lalaguda
9,15H/242RG,10,Lalguda Railway Quarters
10,15H/242RG,11,Santhi Nagar Lalaguda
11,15H/242RG,12,Ram Theatre
12,15H/242RG,13,Lalapet
13,15H/242RG,14,R.P.F. Training Centre
14,15H/242RG,15,Industrial Estate
15,15H/242RG,16,Z.T.S. X Road
16,15H/242RG,17,Carbide
17,15H/242RG,18,HB Play Ground
18,15H/242RG,19,Mangapuram / N.R.M. Degree College
19,15H/242RG,20,Indira Nagar
20,15H/242RG,21,Laxmi Nagar
21,15H/242RG,22,Moulali Unani Dispensary
22,15H/242RG,23,S.P. Nagar
23,15H/242RG,24,Kushaiguda Depot
24,15H/242RG,25,Kamla Nagar
25,15H/242RG,26,ECIL X Road
26,15H/242RG,27,ECIL X Road Bus Terminal
27,15H/242RG,28,ECIL X Road
28,15H/242RG,29,Kushaiguda Road
29,15H/242RG,30,Kushaiguda
30,15H/242RG,31,Nagarjuna Colony
31,15H/242RG,32,Chakripuram
32,15H/242RG,33,Nagaram Road
33,15H/242RG,34,Chakripuram Road
34,15H/242RG,35,Vijaya Hospital Road Nagaram
35,15H/242RG,36,Nagaram
36,15H/242RG,37,Sudha Hospital Dammaiguda X Road Nagaram
37,15H/242RG,38,Rampally X Road
38,15H/242RG,39,6th Phase K.P.H.B
39,15H/242RG,40,Icomm Tele Limited
40,15H/242RG,41,Bandlaguda
41,15H/242RG,42,Bhavani Nagar
42,15H/242RG,43,RG Colony Panchayat Office
43,15H/242RG,44,Rajiv Gruhakalpa Colony

sno,route_id,stop_id,stop_name
0,5K/92A,1,Secunderabad Bus Station
1,5K/92A,2,Clock Tower
2,5K/92A,3,Patny Center
3,5K/92A,4,Bata
4,5K/92A,5,Bible House
5,5K/92A,6,Boats Club
6,5K/92A,7,DBR Mills
7,5K/92A,8,Secretariat / L.I.C. Zonal Office
8,5K/92A,9,AG Office / Birla Mandir
9,5K/92A,10,Lakdikapool
10,5K/92A,11,A.C. Guards
11,5K/92A,12,Masab Tank JNTU
12,5K/92A,13,Masab Tank NMDC
13,5K/92A,14,SD Hospital
14,5K/92A,15,Mehdipatnam
15,5K/92A,16,Rethibowli
16,5K/92A,17,Laxmi Nagar
17,5K/92A,18,Jyothi Nagar
18,5K/92A,19,Ring Road
19,5K/92A,20,Attapur X Road
20,5K/92A,21,Hyderguda X Road
21,5K/92A,22,Upperpally X Road
22,5K/92A,23,Dairy Farm
23,5K/92A,24,Weaker Section Colony / Shivarampally Quarters
24,5K/92A,25,Shivarampally X Road
25,5K/92A,26,Aramghar

sno,route_id,stop_id,stop_name
0,8A,1,Chandrayangutta X Road
1,8A,2,Falaknuma RLY Bridge
2,8A,3,Engine Bowli
3,8A,4,Shamsheergunj
4,8A,5,Aliyabad
5,8A,6,Sayed Ali Chabutra
6,8A,7,Lal Dharwaza Mode
7,8A,8,Shah Ali Banda X Road
8,8A,9,Himmathpura / Shali Banda
9,8A,10,Chowmahalla Palace
10,8A,11,Khilwat
11,8A,12,Lad Bazar
12,8A,13,Moosa Bowli
13,8A,14,City College
14,8A,15,High Court
15,8A,16,Nayapul
16,8A,17,Afzalgunj
17,8A,18,Osmangunj
18,8A,19,Mozamjahi Market
19,8A,20,Abids (G.P.O.)
20,8A,21,Latha Talkies
21,8A,22,Nampally Railway Station
22,8A,23,Nampally Public Garden
23,8A,24,L B Stadium Bus Stop
24,8A,25,Basheerbagh
25,8A,26,Liberty
