sno,route_id,stop_id,stop_name
0,L1,1,Ramlal Bazar (Haltu)
1,L1,2,B.B.D. Bag
2,L1,3,Garfa Rd.
3,L1,4,Haltu Main Rd.
4,L1,5,Kasba Main Rd.
5,L1,6,Rash Behari Avenue
6,L1,7,Sarat Bose Rd.
7,L1,8,Hazra Rd.
8,L1,9,Harish Mukherjee Rd.
9,L1,10,Acharya J.C. Bose Rd.
10,L1,11,Chowringee Rd.
11,L1,12,Esplanade
12,2,1,Rabindra Sadan
13,2,2,Paikpara
14,2,3,Govt. Place East
15,2,4,Old Court House St.
16,2,5,Lal Bazar St.
17,2,6,B.B. Ganguly St.
18,2,7,College St.
19,2,8,Lenin Sarani
20,2,9,Rafi Ahmed Kidwai Rd.
21,2,10,S.N. Banerjee Rd.
22,2,11,Nirmal Chandra St.
23,2,12,Bidhan Sarani
24,2,13,Shyambazar
25,2,14,R.G. Kar Rd.
26,2,15,Belgachia Rd.
27,2,16,Indra Biswas Rd.
28,2,17,Raja Manindra Road
29,2/1,1,Ballygunge Stn.
30,2/1,2,Esplanade
31,2/1,3,Ekdalia Rd.
32,2/1,4,Rash Behari Avenue
33,2/1,5,Sarat Bose Rd.
34,2/1,6,A.J.C. Bose Rd.
35,2/1,7,Chowringhee (B.B.D. Bag)
36,2B,1,Ballygunge Stn.
37,2B,2,Bagbazar
38,2B,3,Shyambazar
39,2B,4,Bhupen Bose Avenue
40,2B,5,Girish Avenue
41,2B,6,B.B.D. Bag (During Office hours)
42,3,1,Bagbazar
43,3,2,Kidderpur
44,3,3,Acharya Prafulla Ch. Rd.
45,3,4,Maniktala Bazar
46,3,5,Rajabazar
47,3,6,Sealdah Stn.
48,3,7,Maulali
49,3,8,S.N. Banerjee Rd.
50,3,9,Lenin Sarani
51,3,10,Chowringhee Rd.
52,3,11,Ashutosh Mukherjee Rd.
53,3,12,Hazra Rd. (Kalighat)
54,3,13,Judge's Court Rd.
55,3,14,Diamond Harbour Road
56,3A,1,Sealdah
57,3A,2,Thakurpukur
58,3A,3,Mahatma Gandhi Rd.
59,3A,4,Raja Rammohan Sarani
60,3A,5,B.B. Ganguly St.
61,3A,6,B.B.D. Bag
62,3A,7,Old Court House St.
63,3A,8,Strand Rd.
64,3A,9,Kidderpore
65,3A,10,Mominpur
66,3A,11,Behala
67,3A,12,Sakherbazar
68,3A,13,Diamond Harbour Road
69,3A/1,1,Kankurgachi (C.I.T. Scheme)
70,3A/1,2,Behala
71,3A/1,3,Narkeldanga
72,3A/1,4,Dr. M.N. Chatterjee Sarani
73,3A/1,5,Raja Bazar
74,3A/1,6,A.P.C. Rd.
75,3A/1,7,Sealdah
76,3A/1,8,M.G. Rd.
77,3A/1,9,Raja Rammohan Sarani
78,3A/1,10,B.B. Ganguly St.
79,3A/1,11,B.B.D. Bag
80,3A/1,12,Old Court House St.
81,3A/1,13,Esplanade
82,3A/1,14,Strand Rd.
83,3A/1,15,Napier Rd.
84,3A/1,16,Kidderpore
85,3A/1,17,Mominpur
86,L3E,1,Esplanade
87,L3E,2,Amtala
88,L3E,3,Dufferin Rd.
89,L3E,4,Casurina Avenue
90,L3E,5,Kidderpur Rd.
91,L3E,6,D.H. Rd.
92,L3E,7,Thakurpukur 3A Bus Stand
93,L3E,8,Pailan
94,L3E,9,Bhasa
95,L3E,10,Bakrahati
96,L3E,11,Bishnupur
97,4A,1,Tollygunge (Kundghat)
98,4A,2,Esplanade
99,4A,3,Chandi Ghosh Rd.
