sno,route_id,stop_id,stop_name
0,1,1,Colaba Depot
1,1,2,Holi Name Vidyalaya
2,1,3,Dr.Shyamaprasad Mukherjee Chowk (Museum)
3,1,4,Hutatma Chowk / Mumbai University
4,1,5,Hutatma Chowk
5,1,6,Khadi Bhandar
6,1,7,Chhatrapati Shivaji Maharaj Terminus (C.S.M.T.)
7,1,8,Chhatrapati Shivaji Maharaj Terminus
8,1,9,Mahatma Phule Market (Crawford Market)
9,1,10,Chakala Market
10,1,11,Zakeria Masjid
11,1,12,Zakeria Masjid
12,1,13,Mandavi Post Office
13,1,14,Johar Chowk (Bhendi Bazar)
14,1,15,Dr.M.Iqbal Chowk (J.J.Hospital)
15,1,16,A.H.Ansari Chowk (New Nagpada)
16,1,17,A.H.Ansari Chowk (Nagpada)
17,1,18,Byculla Station (E)
18,1,19,Byculla Railway Station (E)
19,1,20,Byculla Station (E) / Sant Savta Market
20,1,21,Robert Gomes Chowk
21,1,22,Jijamata Udyan
22,1,23,Jaihind Cinema
23,1,24,K.Shantaram Pujare Chowk
24,1,25,Shantaram Pujare Chowk (Kala Chowky)
25,1,26,Sant Jagnade Chowk (Lalbaug)
26,1,27,Bharatmata Cinema
27,1,28,Parel Workshop
28,1,29,Madkebuwa Chowk (Parel)
29,1,30,Madkebuwa Chowk
30,1,31,Hindmata Cinema (Dadar)
31,1,32,Shinde Wadi
32,1,33,Chitra Cinema
33,1,34,Dadar Post Office
34,1,35,Khodadad Circle (Dadar T.T.)
35,1,36,Veer Hutatma Bhai Kotwal Udyan (Plaza)
36,1,37,Veer Hutatma Bhai Kotwal Udyan (Plaza)
37,1,38,Ram Ganesh Gadkari Chowk (Dadar W)
38,1,39,Citylight Cinema
39,1,40,Shitaladevi Temple Mahim
40,1,41,Mahim Paradise
41,1,42,Mahim
42,1,43,Mahim Kajve / Koliwada
43,1,44,Telephone Exchange (Bandra-W)
44,1,45,Sir Aliyawar Jung Institute (Bandra-W)
45,1,46,Akshay
46,1,47,Parijat
47,1,48,Unit Trust Of India (Bandra)
48,1,49,Bandra Reclamation Bus Station

sno,route_id,stop_id,stop_name
0,2LTD,1,Colaba Depot
1,2LTD,2,Holi Name Vidyalaya
2,2LTD,3,Dr.Shyamaprasad Mukherjee Chowk (Museum)
3,2LTD,4,Old Custom House
4,2LTD,5,Reserve Bank Of India (Fort)
5,2LTD,6,Swami Dyanand Saraswati Chowk (Fort)
6,2LTD,7,Chhatrapati Shivaji Maharaj Terminus (G.P.O.)
7,2LTD,8,Chhatrapati Shivaji Maharaj Terminus
8,2LTD,9,Mahatma Phule Market (Crawford Market)
9,2LTD,10,Chakala Market
10,2LTD,11,Zakeria Masjid
11,2LTD,12,Johar Chowk (Bhendi Bazar)
12,2LTD,13,Dr.M.Iqbal Chowk (J.J.Hospital)
13,2LTD,14,AH Ansari Chowk (New Nagpada)
14,2LTD,15,A.H Ansari Chowk (Nagpada)
15,2LTD,16,Byculla Station (W)
16,2LTD,17,S Bridge / Mandlik Chowk
17,2LTD,18,Com.Gulabrao Ganacharya Chowk
18,2LTD,19,N.M.Joshi Marg Police Station
19,2LTD,20,Bawala Masjid
